Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Passed
S07538,-0.60,84.80,,No
S07539,6.30,57.60,59.50,No
S07540,8.40,85.20,44.60,No
S07541,13.00,96.50,71.70,No
S07542,9.80,72.70,62.80,Yes
S07543,14.00,61.30,74.90,No
S07544,16.70,68.80,60.50,No
S07545,15.30,,51.30,No
S07546,12.40,95.10,66.10,Yes
S07547,10.10,80.30,82.50,No
S07548,5.10,71.50,77.20,No
S07549,13.70,41.70,60.80,No
S07550,18.40,97.20,47.30,Yes
S07551,11.70,66.20,60.60,Yes
S07552,19.60,86.30,60.30,Yes
S07553,2.40,74.80,64.20,No
S07554,4.20,42.70,94.70,Yes
S07555,14.30,100.40,60.30,Yes
S07556,11.30,96.60,67.00,Yes
S07557,16.60,90.30,76.70,Yes
S07558,9.90,81.30,72.60,Yes
S07559,5.70,51.10,87.00,Yes
S07560,8.90,,56.80,No
S07561,2.30,119.10,55.10,Yes
S07562,4.40,77.30,59.50,Yes
S07563,14.90,77.70,51.10,No
S07564,14.40,53.00,65.80,nan
S07565,11.80,33.60,67.30,No
S07566,1.40,67.80,60.00,Yes
S07567,8.20,104.60,,Yes
S07568,,101.90,73.60,No
S07569,15.90,73.70,54.00,No
S07570,7.10,83.60,73.60,Yes
S07571,4.60,50.60,47.70,Yes
S07572,10.10,77.20,51.10,No
S07573,6.80,64.50,86.50,nan
S07574,17.40,76.10,61.60,Yes
S07575,6.30,69.50,62.00,No
S07576,3.00,69.10,90.00,No
S07577,-0.80,,67.60,Yes
S07578,9.80,114.30,61.10,Yes
S07579,7.20,71.60,51.50,Yes
S07580,2.90,103.40,72.00,Yes
S07581,15.90,50.20,86.70,No
S07582,13.30,,64.00,Yes
S07583,9.90,49.10,84.30,Yes
S07584,16.80,68.80,62.80,Yes
S07585,13.30,89.30,53.70,No
S07586,5.90,97.40,57.70,nan
S07587,4.80,59.40,53.80,Yes
S07588,14.10,,85.70,nan
S07589,12.00,99.60,82.00,Yes
S07590,10.80,96.80,70.80,No
S07591,5.80,80.20,29.40,Yes
S07592,13.00,63.20,87.20,Yes
S07593,,61.20,59.30,Yes
S07594,9.50,58.10,55.70,No
S07595,17.20,74.40,,Yes
S07596,6.70,58.50,65.60,No
S07597,2.10,88.60,71.50,No
S07598,4.70,79.60,81.30,No
S07599,15.00,78.70,72.90,Yes
S07600,11.30,38.20,65.40,No
S07601,9.40,75.60,59.40,No
S07602,7.50,65.80,51.80,No
S07603,12.40,118.30,70.70,No
S07604,5.80,,72.90,No
S07605,11.50,70.90,53.50,Yes
S07606,6.30,82.70,49.20,nan
S07607,5.50,55.50,76.80,No
S07608,6.80,113.60,58.70,Yes
S07609,8.10,114.00,47.50,No
S07610,9.80,57.80,50.80,Yes
S07611,11.20,63.20,72.70,Yes
S07612,-8.40,117.90,88.60,Yes
S07613,6.00,150.00,80.20,Yes
S07614,8.00,67.60,36.80,Yes
S07615,17.50,83.60,63.60,No
S07616,4.60,47.30,77.20,No
S07617,10.80,118.90,42.90,No
S07618,17.50,76.50,89.30,Yes
S07619,3.40,86.70,38.00,No
S07620,12.00,56.30,74.10,Yes
S07621,6.00,52.30,59.70,No
S07622,7.50,84.00,68.30,No
S07623,6.00,113.30,66.30,Yes
S07624,6.30,64.20,,No
S07625,23.60,55.40,73.00,Yes
S07626,14.20,81.10,61.60,No
S07627,15.50,107.70,73.70,Yes
S07628,12.50,62.20,55.20,Yes
S07629,2.00,70.00,61.30,nan
S07630,12.00,91.70,73.30,No
S07631,15.40,93.90,54.20,Yes
S07632,5.70,69.30,82.60,No
S07633,14.80,,,No
S07634,13.50,85.60,94.70,No
S07635,19.30,75.30,62.50,No
S07636,7.90,93.00,69.10,Yes
S07637,4.50,90.30,61.60,Yes
S07638,8.20,54.10,65.10,No
S07639,,104.70,73.30,Yes
S07640,0.90,81.90,,No
S07641,,,86.50,Yes
S07642,10.40,,76.70,Yes
S07643,7.80,80.00,49.00,Yes
S07644,10.00,83.00,59.50,Yes
S07645,14.70,85.90,73.80,No
S07646,7.20,105.60,53.10,No
S07647,0.60,84.30,64.80,Yes
S07648,20.20,74.40,67.40,Yes
S07649,5.00,95.20,92.30,Yes
S07650,4.70,83.60,62.60,No
S07651,15.50,134.10,41.40,No
S07652,8.10,80.80,76.60,Yes
S07653,9.70,99.80,80.70,Yes
S07654,12.40,92.60,99.20,Yes
S07655,15.40,34.00,,Yes
S07656,8.30,60.30,44.40,No
S07657,17.60,,70.30,No
S07658,-0.70,45.00,72.90,No
S07659,13.80,67.10,,No
S07660,5.80,47.60,58.90,Yes
S07661,16.90,52.80,71.40,No
S07662,10.70,79.80,66.60,Yes
S07663,6.60,113.40,56.60,Yes
S07664,13.30,47.80,48.50,No
S07665,14.50,50.70,60.10,No
S07666,13.20,64.30,64.00,Yes
S07667,4.90,72.10,75.30,Yes
S07668,7.60,44.20,64.50,Yes
S07669,10.00,61.00,57.30,Yes
S07670,9.80,,73.10,Yes
S07671,13.70,81.40,63.90,nan
S07672,-0.10,83.50,54.60,Yes
S07673,11.70,71.90,70.10,Yes
S07674,8.60,,75.00,Yes
S07675,5.80,60.80,63.70,Yes
S07676,6.30,76.00,89.70,No
S07677,8.90,55.50,83.50,No
S07678,-8.00,105.90,72.80,No
S07679,6.50,45.00,59.50,Yes
S07680,5.60,61.90,37.70,No
S07681,12.70,92.40,46.80,Yes
S07682,6.00,67.00,78.40,No
S07683,8.90,88.40,51.10,Yes
S07684,17.70,109.30,71.20,No
S07685,15.00,91.70,51.60,No
S07686,,51.00,62.30,No
S07687,7.50,51.90,57.80,Yes
S07688,12.70,71.30,77.50,Yes
S07689,8.80,83.90,78.60,No
S07690,9.00,99.10,40.70,No
S07691,12.00,59.30,85.20,Yes
S07692,7.00,65.30,61.10,No
S07693,17.50,70.00,81.30,Yes
S07694,9.20,69.60,200.00,Yes
S07695,13.10,,56.50,Yes
S07696,,72.90,,Yes
S07697,15.20,78.10,38.20,No
S07698,3.00,93.20,49.50,Yes
S07699,12.20,106.80,58.70,No
S07700,14.30,74.30,49.50,No
S07701,14.50,100.20,43.30,Yes
S07702,4.40,111.60,80.40,Yes
S07703,6.70,72.80,58.30,Yes
S07704,15.00,,,No
S07705,6.20,118.70,75.10,No
S07706,8.50,97.40,81.40,No
S07707,17.90,75.20,88.30,No
S07708,9.80,88.00,51.90,No
S07709,6.40,54.10,88.20,No
S07710,5.60,97.20,67.40,Yes
S07711,11.70,39.00,67.50,No
S07712,3.30,96.40,60.80,Yes
S07713,8.80,,69.60,Yes
S07714,11.70,41.90,88.20,No
S07715,16.50,35.00,74.90,nan
S07716,13.30,65.50,81.50,Yes
S07717,6.40,89.20,51.90,Yes
S07718,15.90,47.20,58.50,No
S07719,8.50,50.30,66.20,Yes
S07720,3.80,65.10,72.60,Yes
S07721,9.10,91.20,70.20,Yes
S07722,17.20,93.70,92.00,No
S07723,10.80,77.80,,No
S07724,10.10,94.70,72.00,No
S07725,18.20,88.80,72.60,No
S07726,2.80,66.70,59.00,Yes
S07727,3.60,93.20,64.00,Yes
S07728,1.90,49.30,55.10,No
S07729,11.90,84.70,69.40,No
S07730,10.80,51.70,45.20,No
S07731,17.70,77.90,90.40,No
S07732,11.20,99.40,61.30,Yes
S07733,8.00,79.30,54.30,Yes
S07734,10.00,74.70,38.90,Yes
S07735,10.60,79.50,59.70,No
S07736,,88.30,61.40,No
S07737,23.60,117.70,69.60,Yes
S07738,12.60,88.00,61.90,Yes
S07739,11.10,64.90,108.40,Yes
S07740,13.10,70.80,45.90,No
S07741,-1.00,57.00,74.20,No
S07742,9.30,50.20,71.10,Yes
S07743,6.80,26.40,44.80,Yes
S07744,13.00,65.80,60.10,Yes
S07745,,46.90,100.20,Yes
S07746,6.00,76.90,57.20,No
S07747,-1.00,64.80,95.30,No
S07748,11.50,53.30,63.30,No
S07749,13.60,32.90,65.50,No
S07750,,68.00,59.40,No
S07751,10.10,40.00,50.10,Yes
S07752,11.60,89.10,46.80,Yes
S07753,14.10,80.10,55.90,No
S07754,6.40,70.50,76.30,Yes
S07755,,104.00,73.10,No
S07756,10.60,75.20,59.40,No
S07757,5.20,82.70,93.20,Yes
S07758,21.60,88.70,52.40,Yes
S07759,3.00,64.70,71.90,Yes
S07760,3.50,64.80,45.40,Yes
S07761,16.60,75.80,69.50,nan
S07762,13.60,48.10,72.70,No
S07763,4.90,110.70,62.10,Yes
S07764,13.00,78.20,65.70,No
S07765,17.30,71.00,57.80,Yes
S07766,9.80,116.70,79.00,nan
S07767,23.00,53.00,78.10,No
S07768,1.40,105.70,71.60,No
S07769,13.50,91.30,75.50,No
S07770,15.80,97.30,73.30,No
S07771,14.50,71.50,58.80,Yes
S07772,9.00,76.10,70.30,No
S07773,8.50,68.10,76.30,No
S07774,12.20,94.90,61.90,Yes
S07775,14.10,82.80,73.60,Yes
S07776,13.00,63.80,45.20,No
S07777,15.20,64.70,47.20,Yes
S07778,4.90,74.70,66.20,nan
S07779,8.90,68.40,60.30,Yes
S07780,5.30,103.80,81.50,Yes
S07781,8.10,91.20,62.20,No
S07782,15.10,91.10,82.20,No
S07783,10.50,79.70,64.60,Yes
S07784,23.00,58.50,70.30,Yes
S07785,11.00,88.90,58.70,No
S07786,10.30,33.00,63.20,Yes
S07787,10.50,,54.00,Yes
S07788,,58.80,49.10,Yes
S07789,9.70,57.20,79.00,Yes
S07790,15.60,,81.10,No
S07791,10.60,73.30,79.00,Yes
S07792,6.00,74.50,81.60,No
S07793,5.40,90.80,68.20,Yes
S07794,7.70,71.50,58.40,No
S07795,10.40,73.00,54.50,Yes
S07796,16.00,47.10,38.70,No
S07797,3.30,49.70,73.00,Yes
S07798,8.40,80.70,66.90,No
S07799,10.70,87.60,70.70,Yes
S07800,0.80,69.80,74.00,nan
S07801,5.80,93.70,85.80,Yes
S07802,6.60,46.80,60.10,Yes
S07803,6.00,83.00,72.20,Yes
S07804,11.00,58.00,57.50,No
S07805,9.20,56.40,39.40,Yes
S07806,7.20,59.70,62.30,No
S07807,12.10,73.40,86.90,Yes
S07808,18.60,83.80,62.20,No
S07809,18.20,82.30,51.70,No
S07810,0.40,69.20,70.80,Yes
S07811,12.90,,78.30,Yes
S07812,9.10,108.70,72.70,Yes
S07813,10.80,72.60,85.30,Yes
S07814,8.00,76.90,51.00,No
S07815,10.60,62.80,85.80,No
S07816,10.80,67.20,34.20,No
S07817,,100.00,34.50,No
S07818,5.50,100.20,43.10,No
S07819,7.80,71.00,72.20,No
S07820,,84.80,42.40,Yes
S07821,13.00,,55.40,No
S07822,14.30,66.10,58.60,Yes
S07823,7.50,48.90,76.20,nan
S07824,11.40,88.80,84.20,No
S07825,14.80,92.90,78.50,No
S07826,15.80,90.00,43.50,nan
S07827,9.70,67.50,67.70,No
S07828,8.90,105.50,59.40,Yes
S07829,11.00,80.70,62.50,No
S07830,4.30,52.00,64.00,Yes
S07831,9.00,43.10,58.00,No
S07832,13.70,69.10,54.10,Yes
S07833,13.20,79.50,58.30,No
S07834,8.60,69.20,54.60,No
S07835,11.10,,80.20,Yes
S07836,5.90,83.10,64.00,No
S07837,13.50,55.50,80.20,Yes
S07838,9.60,29.60,81.40,No
S07839,8.60,79.70,85.80,Yes
S07840,8.20,,46.10,Yes
S07841,9.70,112.30,68.90,Yes
S07842,7.80,71.00,,No
S07843,13.30,109.40,92.60,Yes
S07844,8.00,47.80,,Yes
S07845,18.00,68.10,58.00,Yes
S07846,17.30,54.70,60.30,Yes
S07847,5.50,90.80,77.60,Yes
S07848,10.30,49.00,59.50,Yes
S07849,,83.00,44.60,No
S07850,8.40,50.20,71.70,Yes
S07851,20.00,110.20,83.50,Yes
S07852,8.50,67.50,63.90,No
S07853,11.80,82.60,76.30,No
S07854,12.70,39.20,56.10,Yes
S07855,5.00,45.10,66.90,No
S07856,5.70,59.50,66.50,No
S07857,4.00,92.00,59.70,No
S07858,5.60,88.20,50.80,Yes
S07859,-4.30,96.70,54.10,No
S07860,12.70,44.80,54.70,Yes
S07861,20.30,85.10,58.10,No
S07862,10.70,63.80,62.90,Yes
S07863,2.90,58.80,67.20,Yes
S07864,,,67.10,No
S07865,7.70,72.70,63.50,Yes
S07866,4.90,88.20,65.20,No
S07867,14.30,97.50,52.20,No
S07868,14.10,85.40,67.90,Yes
S07869,4.20,87.70,41.50,Yes
S07870,13.60,111.50,49.80,Yes
S07871,,88.90,,Yes
S07872,19.50,70.70,56.40,No
S07873,24.30,86.60,69.30,No
S07874,5.50,109.20,67.60,No
S07875,24.10,57.60,69.10,Yes
S07876,8.20,66.40,77.10,Yes
S07877,7.00,104.00,67.70,No
S07878,11.60,69.20,49.90,Yes
S07879,7.10,90.30,65.40,Yes
S07880,12.00,100.80,51.00,No
S07881,3.40,49.90,,No
S07882,8.80,66.80,71.00,Yes
S07883,16.40,99.10,62.50,No
S07884,9.70,72.50,74.60,No
S07885,10.70,34.60,65.10,Yes
S07886,12.40,64.80,42.30,Yes
S07887,15.90,90.90,59.10,nan
S07888,1.70,100.50,74.50,Yes
S07889,12.90,76.00,71.80,Yes
S07890,8.70,84.70,48.90,No
S07891,10.80,67.60,58.10,Yes
S07892,15.30,93.10,68.10,No
S07893,4.00,103.50,57.20,No
S07894,4.90,90.40,59.90,No
S07895,0.30,72.60,68.70,No
S07896,7.30,83.70,92.50,Yes
S07897,16.70,,69.60,No
S07898,9.40,75.60,75.40,No
S07899,3.30,91.00,51.70,No
S07900,7.60,82.40,46.30,nan
S07901,2.60,103.40,51.90,No
S07902,4.40,89.00,62.40,nan
S07903,11.90,65.00,68.40,Yes
S07904,4.10,103.10,72.20,Yes
S07905,15.60,,78.40,Yes
S07906,,72.20,83.90,No
S07907,10.40,47.90,33.80,No
S07908,8.60,79.60,50.30,No
S07909,13.90,111.70,90.00,No
S07910,13.90,20.40,70.20,No
S07911,11.70,21.20,63.40,Yes
S07912,12.80,90.30,31.60,No
S07913,8.90,79.70,45.60,No
S07914,12.70,88.40,,Yes
S07915,8.30,64.50,58.00,Yes
S07916,-1.00,32.20,73.20,No
S07917,8.60,58.40,59.00,Yes
S07918,7.70,106.20,97.70,Yes
S07919,6.60,66.00,64.30,No
S07920,12.30,66.10,42.70,No
S07921,16.60,22.40,,Yes
S07922,15.90,,66.10,No
S07923,3.70,97.20,55.70,No
S07924,16.40,69.80,68.00,nan
S07925,,94.80,80.70,No
S07926,13.00,59.90,61.40,Yes
S07927,5.50,45.60,50.70,No
S07928,10.70,69.80,68.10,Yes
S07929,11.60,63.50,55.40,No
S07930,2.60,58.30,69.90,No
S07931,13.00,58.90,,No
S07932,16.70,72.30,47.90,Yes
S07933,9.10,,37.30,Yes
S07934,16.80,56.40,99.40,No
S07935,9.10,111.10,67.00,No
S07936,14.20,84.20,46.30,Yes
S07937,-1.10,78.20,50.00,Yes
S07938,22.10,,57.90,Yes
S07939,17.50,88.30,,Yes
S07940,-1.00,85.60,28.70,Yes
S07941,0.10,54.30,75.50,No
S07942,11.40,44.40,54.70,No
S07943,2.80,29.50,87.20,Yes
S07944,12.20,110.80,70.80,No
S07945,12.10,66.10,78.40,nan
S07946,5.30,86.80,61.50,No
S07947,15.60,79.00,68.70,Yes
S07948,14.00,93.30,85.80,Yes
S07949,14.90,73.70,52.20,Yes
S07950,10.00,48.40,71.60,Yes
S07951,2.90,54.30,73.00,No
S07952,14.90,68.00,85.40,No
S07953,8.60,43.30,55.40,Yes
S07954,3.10,57.90,52.30,Yes
S07955,,51.00,82.80,Yes
S07956,20.50,68.40,61.60,No
S07957,9.80,65.10,51.50,No
S07958,20.80,77.40,57.60,No
S07959,10.50,92.10,44.20,Yes
S07960,8.10,70.10,64.60,No
S07961,6.80,,21.80,No
S07962,,34.00,69.00,No
S07963,6.10,78.20,41.90,No
S07964,13.70,61.70,84.00,Yes
S07965,7.20,71.90,54.40,Yes
S07966,7.70,81.60,52.60,Yes
S07967,15.20,103.90,65.60,No
S07968,8.10,40.00,70.90,Yes
S07969,8.00,54.80,65.50,No
S07970,15.70,73.30,40.70,nan
S07971,18.00,52.20,66.80,Yes
S07972,13.20,45.20,63.80,Yes
S07973,,101.20,63.20,No
S07974,7.40,54.00,73.70,No
S07975,10.40,,53.40,Yes
S07976,-1.00,52.00,48.00,Yes
S07977,5.10,96.70,74.20,No
S07978,13.60,61.10,35.80,No
S07979,10.40,47.30,69.20,No
S07980,1.40,58.20,46.80,Yes
S07981,5.40,,86.00,Yes
S07982,7.50,92.80,43.20,Yes
S07983,9.60,,,Yes
S07984,19.40,59.40,99.90,Yes
S07985,11.20,,83.90,Yes
S07986,5.80,117.10,52.90,No
S07987,11.10,94.90,,Yes
S07988,8.20,70.00,51.10,No
S07989,11.60,29.10,70.40,Yes
S07990,12.90,65.80,69.30,No
S07991,,48.50,59.00,Yes
S07992,9.90,57.70,90.70,Yes
S07993,18.20,55.70,,No
S07994,,,36.60,Yes
S07995,6.50,76.40,105.00,No
S07996,21.00,60.40,78.70,Yes
S07997,11.60,49.40,61.90,No
S07998,-1.00,71.40,68.10,Yes
S07999,18.30,65.00,66.80,Yes
S08000,20.40,37.00,40.70,nan
S08001,,87.20,64.70,Yes
S08002,7.50,60.40,71.50,No
S08003,9.10,69.60,70.80,Yes
S08004,,70.60,29.20,Yes
S08005,16.40,74.70,67.80,Yes
S08006,12.90,77.90,72.00,No
S08007,10.50,48.90,64.20,No
S08008,17.50,81.20,46.80,No
S08009,8.40,68.10,84.70,No
S08010,15.20,96.70,64.50,No
S08011,8.60,91.30,61.80,Yes
S08012,12.20,101.50,62.70,No
S08013,9.40,56.20,43.00,No
S08014,9.70,100.70,94.30,Yes
S08015,8.10,76.90,81.90,No
S08016,16.70,88.80,54.60,No
S08017,6.30,88.50,36.10,Yes
S08018,6.30,84.20,72.90,No
S08019,20.60,53.20,76.20,Yes
S08020,,94.10,66.00,Yes
S08021,-1.90,82.00,60.00,Yes
S08022,7.20,45.50,40.00,No
S08023,0.90,65.30,,Yes
S08024,5.20,50.70,39.80,No
S08025,-5.70,46.50,69.10,Yes
S08026,9.30,92.10,75.90,Yes
S08027,4.30,45.40,60.40,Yes
S08028,10.30,,,No
S08029,1.90,114.60,27.20,No
S08030,10.40,66.00,51.10,Yes
S08031,7.90,88.20,57.80,No
S08032,17.50,97.50,40.80,No
S08033,17.10,90.50,84.20,No
S08034,,78.00,53.30,Yes
S08035,8.40,74.30,58.00,Yes
S08036,19.90,85.80,91.80,Yes
S08037,2.20,70.50,80.30,nan
S08038,3.00,88.90,,No
S08039,9.60,69.80,84.10,Yes
S08040,21.30,72.10,75.40,Yes
S08041,9.00,112.60,53.00,Yes
S08042,9.10,65.40,42.90,No
S08043,2.80,75.40,77.00,Yes
S08044,14.70,83.60,56.80,Yes
S08045,14.80,84.90,29.80,Yes
S08046,13.90,80.90,71.60,No
S08047,6.90,50.00,68.50,Yes
S08048,6.50,78.20,45.50,Yes
S08049,3.50,79.90,85.90,Yes
S08050,10.40,97.80,51.90,No
S08051,4.60,89.80,98.40,No
S08052,4.10,99.10,,No
S08053,7.90,54.90,80.20,nan
S08054,7.60,55.10,55.90,Yes
S08055,7.30,81.60,67.60,Yes
S08056,12.30,97.70,69.00,Yes
S08057,10.40,71.00,60.60,Yes
S08058,8.60,60.20,65.20,Yes
S08059,10.90,43.00,91.00,Yes
S08060,5.00,82.30,54.50,Yes
S08061,10.50,72.70,71.90,Yes
S08062,10.80,66.30,56.50,Yes
S08063,2.50,93.10,41.40,Yes
S08064,15.00,73.30,80.90,No
S08065,5.60,75.00,71.10,Yes
S08066,10.50,93.00,79.80,Yes
S08067,15.80,118.80,50.60,No
S08068,14.60,66.10,55.70,No
S08069,10.20,57.50,70.90,No
S08070,8.20,55.20,76.60,Yes
S08071,14.70,84.50,82.90,No
S08072,13.40,53.20,63.50,No
S08073,6.90,67.50,72.60,No
S08074,6.00,69.30,91.80,Yes
S08075,-0.40,106.10,59.30,No
S08076,10.80,98.90,69.20,Yes
S08077,9.60,44.30,62.80,No
S08078,15.70,106.70,68.20,Yes
S08079,11.80,50.70,85.80,nan
S08080,16.70,78.20,56.10,No
S08081,6.50,58.30,52.40,No
S08082,15.70,67.20,78.10,Yes
S08083,7.40,55.40,87.60,No
S08084,13.90,108.50,43.10,Yes
S08085,2.70,72.20,59.90,Yes
S08086,-1.00,79.50,69.70,No
S08087,0.10,53.60,65.70,Yes
S08088,8.70,46.70,67.10,No
S08089,12.20,,66.00,Yes
S08090,7.40,85.40,54.00,No
S08091,4.70,72.60,26.60,Yes
S08092,14.20,94.50,64.60,Yes
S08093,9.50,77.50,61.60,Yes
S08094,7.60,75.10,42.60,Yes
S08095,10.20,85.70,54.80,Yes
S08096,23.20,77.00,78.40,Yes
S08097,15.80,93.90,62.10,Yes
S08098,15.80,86.10,67.80,Yes
S08099,12.20,93.20,48.90,Yes
S08100,,89.30,73.90,Yes
S08101,,102.20,98.40,Yes
S08102,6.60,91.60,72.90,Yes
S08103,,110.00,71.60,No
S08104,0.60,64.20,68.80,Yes
S08105,4.20,91.70,55.10,No
S08106,0.10,47.40,79.40,Yes
S08107,9.80,93.90,63.20,No
S08108,14.10,76.10,90.90,No
S08109,15.50,93.70,91.80,No
S08110,12.10,108.60,56.90,Yes
S08111,5.20,91.00,76.50,Yes
S08112,0.30,66.70,56.20,Yes
S08113,1.20,53.20,82.50,No
S08114,3.70,85.70,51.80,nan
S08115,5.60,69.30,,No
S08116,9.20,88.30,72.80,Yes
S08117,4.90,64.90,76.60,Yes
S08118,11.70,56.40,49.70,Yes
S08119,8.80,70.20,71.80,No
S08120,10.10,,68.20,No
S08121,15.70,77.40,48.00,No
S08122,4.10,58.70,82.30,No
S08123,12.10,111.00,89.10,No
S08124,9.90,72.20,65.90,Yes
S08125,8.30,29.80,63.00,Yes
S08126,14.40,93.60,59.50,No
S08127,14.40,74.80,103.00,nan
S08128,5.30,71.60,79.10,Yes
S08129,9.10,71.20,54.30,No
S08130,11.40,71.30,41.10,Yes
S08131,8.60,108.40,58.60,No
S08132,12.90,84.30,58.70,nan
S08133,11.40,80.20,68.80,No
S08134,19.20,69.70,65.70,Yes
S08135,2.30,,,No
S08136,9.40,91.90,24.40,Yes
S08137,5.50,94.80,73.10,No
S08138,13.00,80.60,78.40,Yes
S08139,,95.00,,nan
S08140,11.70,82.90,52.00,Yes
S08141,6.80,67.60,57.70,Yes
S08142,6.30,82.40,72.60,Yes
S08143,2.80,116.90,58.80,No
S08144,7.70,79.10,64.50,No
S08145,15.40,100.40,53.20,Yes
S08146,9.90,98.80,66.00,Yes
S08147,13.10,86.30,55.50,No
S08148,18.30,108.10,51.80,No
S08149,11.30,31.50,67.10,No
S08150,7.20,,78.00,No
S08151,12.30,109.60,68.90,Yes
S08152,7.30,62.10,61.60,No
S08153,7.50,77.20,80.10,No
S08154,2.40,110.00,58.10,No
S08155,14.60,79.00,63.80,No
S08156,8.10,108.80,82.60,No
S08157,10.90,67.20,58.50,Yes
S08158,4.80,87.30,56.90,Yes
S08159,12.20,,,Yes
S08160,6.20,104.80,50.00,nan
S08161,9.30,69.80,83.00,Yes
S08162,14.40,55.70,35.90,Yes
S08163,14.00,65.60,66.10,Yes
S08164,9.90,66.50,55.20,No
S08165,1.20,62.10,70.10,No
S08166,25.00,61.20,87.00,Yes
S08167,18.70,97.40,47.60,No
S08168,13.60,103.20,43.90,No
S08169,6.20,82.80,82.30,No
S08170,9.40,62.10,61.50,Yes
S08171,7.30,63.30,63.80,Yes
S08172,16.30,33.50,,Yes
S08173,11.30,82.60,59.60,No
S08174,6.10,61.30,51.30,No
S08175,7.60,104.40,61.40,Yes
S08176,15.60,47.40,52.40,Yes
S08177,,63.20,,Yes
S08178,17.60,73.10,56.70,No
S08179,13.80,84.30,84.70,No
S08180,8.70,111.10,75.00,Yes
S08181,-6.20,47.60,50.00,Yes
S08182,,69.00,49.00,nan
S08183,10.00,46.40,61.70,Yes
S08184,10.70,90.80,54.00,No
S08185,10.30,62.10,53.90,No
S08186,3.40,72.90,77.60,Yes
S08187,12.80,71.60,69.10,No
S08188,,77.30,83.50,No
S08189,13.40,71.90,48.90,No
S08190,14.70,55.60,37.50,Yes
S08191,13.00,76.70,54.00,No
S08192,7.90,59.10,81.20,No
S08193,9.60,91.30,55.60,No
S08194,10.50,76.10,89.60,Yes
S08195,10.50,54.20,57.00,Yes
S08196,15.00,123.10,73.80,No
S08197,13.20,108.20,64.60,Yes
S08198,20.40,123.90,35.60,No
S08199,21.00,68.10,55.10,No
S08200,10.40,58.30,72.20,Yes
S08201,-9.20,91.10,64.30,Yes
S08202,16.20,97.20,58.40,No
S08203,7.30,78.90,62.50,No
S08204,6.00,32.90,67.30,Yes
S08205,8.00,55.40,24.20,Yes
S08206,7.80,83.50,56.60,No
S08207,13.10,61.80,52.90,Yes
S08208,2.20,47.70,75.40,No
S08209,4.60,69.80,76.40,No
S08210,11.70,10.10,,No
S08211,13.10,62.90,66.70,Yes
S08212,13.20,66.50,34.80,Yes
S08213,6.10,81.20,51.40,No
S08214,5.10,86.00,59.70,nan
S08215,7.50,82.60,63.40,No
S08216,11.20,92.90,,No
S08217,17.40,71.60,35.80,Yes
S08218,-0.20,45.90,79.60,Yes
S08219,8.90,75.90,49.60,No
S08220,3.30,57.50,31.00,No
S08221,1.70,47.90,76.80,No
S08222,14.80,86.60,51.30,No
S08223,12.70,46.70,75.40,Yes
S08224,12.20,88.60,38.80,Yes
S08225,14.60,49.20,58.90,Yes
S08226,7.60,,50.50,nan
S08227,7.80,63.70,70.90,No
S08228,,97.70,51.60,No
S08229,8.80,86.90,70.90,Yes
S08230,13.70,58.50,58.70,No
S08231,10.00,71.80,55.10,Yes
S08232,0.80,101.60,78.50,Yes
S08233,-0.20,104.90,94.30,Yes
S08234,7.10,47.60,59.50,Yes
S08235,15.30,101.30,53.40,No
S08236,13.90,99.80,62.90,No
S08237,14.60,78.60,66.60,Yes
S08238,5.10,73.20,38.10,No
S08239,18.10,64.00,49.80,Yes
S08240,5.20,49.90,42.40,No
S08241,11.10,81.80,47.70,No
S08242,9.90,,86.80,Yes
S08243,9.10,83.70,30.70,Yes
S08244,16.70,84.20,70.60,No
S08245,,125.40,59.40,Yes
S08246,3.30,98.90,68.70,Yes
S08247,10.10,85.90,47.50,No
S08248,8.00,32.30,58.10,Yes
S08249,26.90,82.80,83.40,Yes
S08250,13.40,106.60,58.20,Yes
S08251,8.00,66.50,86.10,Yes
S08252,4.70,118.80,24.10,No
S08253,0.60,85.90,73.10,No
S08254,4.90,80.90,65.60,No
S08255,10.60,55.20,43.40,Yes
S08256,17.10,105.10,78.70,Yes
S08257,15.60,58.40,53.80,No
S08258,11.10,63.70,68.50,Yes
S08259,8.40,37.40,50.20,No
S08260,11.30,92.90,57.30,No
S08261,7.40,86.80,75.60,Yes
S08262,18.60,75.20,100.30,Yes
S08263,9.10,89.80,51.50,Yes
S08264,9.60,87.90,83.70,Yes
S08265,-1.10,67.70,85.10,Yes
S08266,,59.30,74.60,No
S08267,14.20,40.70,76.50,No
S08268,4.70,71.40,54.40,Yes
S08269,6.20,48.80,50.50,No
S08270,14.00,78.30,57.90,No
S08271,2.60,71.80,69.00,Yes
S08272,15.30,67.00,,Yes
S08273,7.30,95.90,53.80,Yes
S08274,8.10,55.30,54.50,Yes
S08275,4.40,,60.40,Yes
S08276,11.90,70.50,77.90,Yes
S08277,22.30,60.20,48.80,No
S08278,13.90,77.40,73.50,Yes
S08279,5.70,56.70,72.90,Yes
S08280,15.70,83.40,57.20,Yes
S08281,8.40,55.50,69.40,No
S08282,16.90,55.30,82.80,Yes
S08283,14.00,87.30,60.10,No
S08284,-4.70,74.10,53.40,nan
S08285,5.00,51.30,50.60,No
S08286,14.70,56.00,52.30,Yes
